nama_pengguna,rating,tanggal,ulasan
Euis Istiyani,1,2026-05-21 02:32:04,"dasar bank biadab,,,ini tiap bulan potongan gede banget sampe 30rb lebih buat ap aj woiii.!! di mutasinya ga ad tp saldonya ilang.. maintenance-nya lama banget pula,,pokonya kecewa berat"
Is (Is),1,2026-05-21 02:19:11,sudah log-in
Emi Suryani,5,2026-05-21 02:16:00,versi 2.17.1 login Brimo
Idris Latuconsina,5,2026-05-21 02:09:08,aku suka brimo
BINTANG SERVICE CENTER,1,2026-05-21 02:06:37,brimo udah dua hari cek koneksi internet mau pake wifi atopun data gimana ini mengganggu transaksi
Deni Sana,1,2026-05-21 02:02:53,"kenapa BRImo saya susah dii buka,,padahal nggk ke blokir,,tolong bantuan nya"
Eek Gede,2,2026-05-21 01:48:13,kedepannya kasih tau dong klo update yg terbaru misalnya ga bisa pake dns/hanya bisa dns otomatis dll jangan pelit² info pembaruan lah
Eka Pitrajaya Ginting Manik,1,2026-05-21 01:47:12,tiba2 tidak bisa d pakai. selalu jaringan atau koneksi internet tidak bisa. padahal orang mau buru2 isi paket. sangat tidak profesional. sekarang akun saya pun tidak bisa masuk lagi. luar biasa buruk ny
Boma Gendenk,1,2026-05-21 01:46:48,koneksi internetmu kurang baik. haha... matamu suek !!
Fahmi Thahir,1,2026-05-21 01:43:22,"kalau aplikasi atau server kalian lagi ada kendala beri tahu ada kendala, jangan dengan tulisan konek internet nasabah yg kurang baik"
Adetya Saputra,1,2026-05-21 01:42:56,apa ada gangguan brimo wilayah blitar Jawa timir
Yudi Farisky,4,2026-05-21 01:42:43,terlalu sering eror
RBS BELLOON OFICIAL,1,2026-05-21 01:41:06,bank sampah masa saldo gua hilang 50 ribu tiap bulan gara gara asuransi yg saya tidak daaftar sama sekali dr awal buka rekening
surya rizqi rabbani,3,2026-05-21 01:38:14,"dari jam 6 sore tgl 20mei2026 sampai tgl 21mei jam 01.30..tidak bisa login dengan alasan periksa konektivitas jaringan.. padahal internet bagus..tolong diperbaiki,ada kebutuhan mendesak tidak bisa tarik tunai,krna saya tidak ada ATM... sampai kapan ini brimo bisa kembali normal. tolong BRI ditingkatkan lagi sistemnya biar tidak ada kendala terus menerus.terimakasih"
Elan Suherlan,1,2026-05-21 01:34:17,bnyak banget gangguan skrng brimo.. makin males menggunakan plaikasi brimo
Yono'san,5,2026-05-21 01:29:10,good aplikasinya
Yoga,5,2026-05-21 01:27:27,"aplikasi brimo saya tidak bisa di buka,kalau saya login kayanya jaringan saya tidak bisa. sadang kan jaringan internet saya bagus aja ko. tolong admin solusinya dong"
22-027_ Alimuddin Nur Baweansyah,2,2026-05-21 01:25:21,"kenapa akhir2 ini aplikasi sering aneh ada jaringan bilang nya koneksi buruk, padahal semua aplikasi e money berjalan normal, hanya brimo doang kan aneh, please lah aneh"
unmura 2020,1,2026-05-21 01:22:18,"untuk sementara satu aja dulu... ini kok error mulu ya ... jaringan wifi bagus, data bagus, ehh tiba tiba pesan errornya jaringan anda jelek... untuk pengguna lain sama gak error nya"
Yusuf Arisman,4,2026-05-21 01:22:09,bintang empat dulu ko gabisa masuk alasan jaringan buruk padahal jaringannya bagus semua apk bisa di buka kecuali brimo kenapa ya
Arjuwin Taqwa,5,2026-05-21 01:19:20,apakah untuk wilayah ogan komering ulu sumsel sedang gangguan
Danang Hadsa Official,1,2026-05-21 01:07:36,aplikasi terburuk yg pernah ada . sering troble .. pas mau pentingan tf gak bisa loginnn ... parahhhh banget super2 burukkk 👎👎👎👎
Asmil,5,2026-05-21 00:59:44,manap dan terpercaya
mountainbike funny,1,2026-05-21 00:58:00,aplikasi lemot. padahal jaringan kuat .gagal lagi gagal lagi truss gagal bisa bangkrut ni gua
Irman Fahrudin,1,2026-05-21 00:54:21,Internet kurang bagus trus dari jam 7 mlam tadi kecewa
Danton Rizky,1,2026-05-21 00:53:32,eror gk bisa d buka
Diahhuler -Kun,1,2026-05-21 00:51:47,"jaringan bagus tapi ga bisa login, bikin rugi"
Cuanai,1,2026-05-21 00:38:29,"internet lancar jaringan lancar, tapi gak bisa buka brimo, keterangan, koneksi internetmu kurang baik"
Aisyah 22,2,2026-05-21 00:35:50,"sangat buruk,sering ke blokir&tidak dpt diklaim"
Anwar Rosyd,1,2026-05-21 00:32:11,kenapa gak bisa login? katanya koneksi internetmu kurang baik tapi kalau pake apps yg lain fine2 aja
Chacha Ferly,1,2026-05-21 00:31:14,ini apk brimo kenapa gak bia terbuka2 ya dari kemaren alasan nha internet kurang baik. tp di apk brimo teman ku bisa aja terbuka. tolong ini kenapa ya. mau transaksi susah bgt jadi nya
Pengguna Google,5,2026-05-21 00:25:16,sering gangguan jaringan
Emil Braden,1,2026-05-21 00:20:47,selalu koneksi buruk aplikasi ini
aida octaviani,1,2026-05-21 00:17:53,"padahal buat buka apk lain wifi saya kenceng bgt tiba""mau buka bri lemot pisan. kira""apknya atau jaringannya bermasalah?"
Desina Putri,1,2026-05-21 00:14:49,koneksi buruk per tanggal 21 mei 2026 kenapa ya
Nayra Putri,5,2026-05-21 00:14:41,tolong dong BRImo jngan selalu gangguan lamaa apalagi kalo lagi urgent. mau tarik uang jadi susahh
Dirga Winata,1,2026-05-21 00:12:59,"sering sekali close app ketika baru memulai untuk dibuka, bug nya tolong diperbaiki!"
Cipul Cipul,1,2026-05-21 00:10:58,padahal sinyal bagus masa tidak ada sinyal maksudnya gimna
Yonif Pararaider328,2,2026-05-21 00:00:26,kenapa aplikasi brimo untuk saat ini tidak bisa login padahal sinyal bagus tapi keterangan di aplikasi sinyal tidak bagus
Baihaqi Gitara,1,2026-05-20 23:58:35,kenapa brimo saya tidak bisa di buka koneksi internet kurang baik padahal paket internet masih ada
Budi Prasetya,5,2026-05-20 23:52:31,tolong segera diperbaiki brimo lagi penting malah eror mulu.........
Owyy wakwak,1,2026-05-20 23:52:30,aplikasi sampah!! maintance gk jelas anda anda sedang offline gk jelas banget orang lagi mau bayar!!
ridwan85,5,2026-05-20 23:51:00,terbaik dan membantu
adin Kurniansyah,1,2026-05-20 23:50:25,ganguann mulu telek
Natus Vincere,3,2026-05-20 23:49:46,"Tiba-tiba jam 11:32 error tertulis internet anda bermasalah, lalu aplikasi saya update, setelah itu masalah tetap sama yaitu internet. padahal quota saya 11gb dan aplikasi serta youtube berjalan lancar tanpa halangan. aneh"
ES TEH PANAS,2,2026-05-20 23:49:38,"ini knpa dah, pake wifi sama data ttep aja lost konek, suruh periksa jaringan terus"
FIRMANSYAH ANCHA,1,2026-05-20 23:48:46,"saya baru pakai sebulan suda tidak bisa di akses.alasanya jaringan kurang stabil, padahal internet saya aktif. dan saya coba hubungi dari pihak tidak ada tanggapan atau solusi.saldo saya Masi ada dan tidak bisa di ambil.karna apknya tidak bisa di buka lagi. mohon dari pihak brimo ada solusi tagani masalah ini."
Adhar Mbojo,5,2026-05-20 23:47:57,Luar biasa untuk BRI
S S,5,2026-05-20 23:44:54,Brimo saya gak bisa login udah sekitar 5 jam. keterangannya koneksi internet kurang baik padahal jaringan saya sangat stabil
Sapta Nugraha,1,2026-05-20 23:41:31,ribettttttttt
Reigunx Channel,5,2026-05-20 23:40:42,gangguan hari ini.. ga bisa login
Syarif OI,5,2026-05-20 23:37:48,sangat baik mudah bertransaksi dan aman..
Srahh Sill,1,2026-05-20 23:35:57,saya tidak bisa mendownload selalu tertunda
Ajis Rudin,1,2026-05-20 23:34:21,bodok eee dikit² error
Subhan Hasanuddin,5,2026-05-20 23:29:21,"hallo bro, brimoku waktu mau dilogin keterangannya hanya internet kurang baik, bagaimana solusinya, sedangka jaringanku sangat baik"
Warga Plus 62,1,2026-05-20 23:28:20,"lah ini dari sore aplikasi gabisa dibuka sampe jam 11 malem ini kenapa?? aku butuh narik saldo, dan ini sering banget terjadi tolong yang bersangkutan segera diperbaiki"
Martino Lumbanraja,2,2026-05-20 23:27:59,kenapa akun brimo saya tidak bisa login dan malah tertulis jaringan sedang tidak baik padahal saya buka youtube dan aplikasi lainnya tidak ada kendala
Ivansyah,1,2026-05-20 23:21:22,"kalo ga bisa dipake buat apa, jaringan jelek mulu perasaan, ga 1 2 kali ini.. yang bener napa dah"
BAWAL LAHAKU,1,2026-05-20 23:16:52,tidak bisa login.. kenapa lagi brimo ini bermasalah terus udah 3 kali kaya gini... buka brimo muncul terus tulisan.. koneksi internet kurang baik... sudah pake semua sinyal.. sial emang siaal BRI ini sumpah menyesal buka BRI.. sumpah seumur hidup menyesal
Ruhtaf Althaf,1,2026-05-20 23:12:24,"tidak bisa membuka aplikasi dengan alasan internet kurang baik, padahal internet lancar buat buka aplikasi dan sosmed lain, tapi buat buka brimo gak bisa"
Mahesa Official,5,2026-05-20 23:09:35,sering gangguan server
akun Khusus game,3,2026-05-20 23:06:43,"ini keseringan dapet notif jaringan buruk, yg padahal jaringan ku stabil, semenjak update malah bermasalah,"
Yayu Tobing,1,2026-05-20 23:05:56,kenapa tiba tiba masalah koneksi internet dri tdi
akun akun,1,2026-05-20 23:03:43,gampang eror kocak
Hadi 31,3,2026-05-20 23:02:50,belakang ini sering susah login padahal sinyal seluler maupun wifi bagus
Salis Munif,2,2026-05-20 22:57:59,"kok sekarang klo login jaringan tidak koneksi,padahal kuota masih banyak"
Mawi Sadli,5,2026-05-20 22:56:03,kenapa kalo aplikasi nya di buka selalu koneksi buruk trus ? pada hal sudah pakai paket data dan wifi
Caparuni,3,2026-05-20 22:53:57,"kok tida bisa di buka yaa,pdahal jaringan bagus sdah konek wifi dan data seluler tapi pas logi malah muncul ""periksa koneksi internet anda!"""
A. Muhammad Herdiyansa. Za,1,2026-05-20 22:53:30,APLIKASI CACAT. JARINGAN BAGUS TAPI NDA BISA LOGIN ASU
Usman,5,2026-05-20 22:52:45,kabupaten tanjung jabung timur tidak bisa log in gmana ini
David Osborne,1,2026-05-20 22:50:17,"kenapa susah masuk alasannya koneksi Internet kurang bagus, padahal buat buka yg lain bisa. Tolong lah Brimo perbaiki dan tingkat kan lagi sistem nya jgn semakin lama di pakai semakin menyusahkan aja itu akan menurunkan minat memakai brimo."
Vivo Vo,5,2026-05-20 22:48:21,sangat gampang dan efisiens
Abah Said,5,2026-05-20 22:48:01,ok banget ga ada duanya
Hendra Hutabarat,1,2026-05-20 22:47:33,"kalau ada bintang 0 kasih bintang nol, masa malam kayak gini gak bisa digunakan, alasan koneksi jaringan internet saya, sementara BCA mobile bisa. jadi kalau urgent jam malam gimana? harus ke ATM? SAMA AJA buat apa ada ini"
Hardiyansyah,1,2026-05-20 22:47:23,"dr sore sampe malem eror gak bisa transaksi, kacau"
Ahmad Zazuli,1,2026-05-20 22:47:17,Gila bener paket data gacor pake wifi gacor tapi buka aplikasi BRImo notif internet kurang baik dan gak bisa login. kocak kocak. segera perbaharui min biar konsumen tetep pake ni rekening
Den Bayoez,1,2026-05-20 22:47:07,"Sering banget muncul koneksi internetmu kurang baik... padahal sinyal ok, kuota msh banyak, dicoba pake wifi pun jg sama saja.. kyk gt ngeganggu banget mau transaksi atau bayar qris tp mlh gk bisa dibuka brimonya.. diperbaikilah kyk gt"
Herdi Yansyah,1,2026-05-20 22:45:01,susah masuk ke aplikasi nya keterangan internet kurang baik terus padahal jaringan lancar
Riko,1,2026-05-20 22:42:42,buruk tidak bisa dibuka semakin buruk brimo
Video dan lagu Anak anak,5,2026-05-20 22:42:10,tolong dong kenapa aplikasi brimo tidak bisa dibuka alasanya tdak ada koneksi dan menyru periksa sambungan padahal sambunganya baik
Adella Rahma,1,2026-05-20 22:41:28,"tiba"" tidak bisa dibuka.. suruh periksa koneksi jaringan.. data masih full kok . tapi GK bisa masuk. mana masih ada duit lagi disitu"
Fair Play News,2,2026-05-20 22:40:13,kok gk bisa log in sudah 3 hari katanya internet kurang bagus padahal kecepatan wifi 150 mbps
Bayu Rika Irawan,1,2026-05-20 22:38:36,Bank BRI sangat tidak cocok untuk masyarakat informasi karena selalu eror
farahdmtn,5,2026-05-20 22:37:56,"proses nya gampang, cepet anti ribet"
Keper bitel,1,2026-05-20 22:37:42,sampai sekarang tidak bisa login
Antonio Xaverius,1,2026-05-20 22:36:15,"Bank paling menyusahkan, ulang-ulang bermasalah. Kalo bukan mesin ATM-nya, Aplikasinya. Masa kouta ada, mau Qiris tapi tulisan tidak ada jaringan seperti tidsk ada kouta, sudah di cek di aplikasi kartu yg di gunakan, mala ada kouta bahkan menggunakan Wiffi saja, tetap tidak bisa di buka. Kalau bermasalah, yah bermasalah saja Bos. Jangan seakan-akan menyalahkan kami, setidaknya ada pemberitahuan. Sumpah mau transaksi trus Bank seperti itu menyusahkan sekali, Bos."
Arum Manis,2,2026-05-20 22:30:36,ini brimo kenapa oiii dr td gk bisa dibuka
Resolusi Trading,1,2026-05-20 22:30:26,"Kenapa BRImo saya tidak bisa dibuka dengan notice *""KONEKSI MU KURANG BAIK""* sementara sinyal dan jaringan saya lancar dan bagus, disaat lagi butuh mendadak BRIMO TIDAK BISA DIGUNAKAN!! Tolong lah jangan mempersulit nasabah !!!!!"
vatta yasa,1,2026-05-20 22:29:10,"aplikasi tolol, lagi urgent mau transfer malah aplikasi gak bisa dibuka karna jaringan internet padahal wifi data jaringan lancar"
Maya Avirillia,5,2026-05-20 22:28:55,sangat suka dengan aplikasi BRI...sangat membantu dan mudah ..juga pembelian paket data sangat lah terjangkau di aplikasi ini...
Apa Apa Ajalah,1,2026-05-20 22:28:53,"makin ga jelas aplikasinya, login pakai paket data dan wifi pribadi pun ga bisa..."
MUSHARI BULANTA,1,2026-05-20 22:27:25,ayolah kenapa jaringan bagus wifi bagus tapi malah di bilang gangguan apa lah
Ela Lailiya,2,2026-05-20 22:25:01,ini kenapa ya kok internet tidak terhubung
little peace,1,2026-05-20 22:23:45,"busuk, internet dipakai segala hal lancar pas buka nih aplikasi g bisa"
Widji Roesoeck,1,2026-05-20 22:22:59,Hari ini buka apk brimo kok gk bisa ya?
AFRIZAL BINTANG JAGADINATA,1,2026-05-20 22:22:37,"Aplikasi busuk, gak guna!"
Ari Abdul gani,2,2026-05-20 22:22:28,ini kenapa ya brimo nggk bisa di buka koneksi bermasalah padahal data internet ada
khusus game,1,2026-05-20 22:20:55,apk busuk gangguan koneksi terus padahal sinyal mah aman
Octo Adonara,1,2026-05-20 22:20:36,"habis update malah muncul notif koneksi internet kurang baik, padahal koneksi internet untuk aplikasi lainnya normal2 saja 😏"
Cak Day,1,2026-05-20 22:15:45,aplikasi sekelas milik BUMN kog gini amat.kalau trouble keterangan pasti koneksi kurang baik..apa emang begitu biar gk disalahkan . user jadi menyalahkan provider penyedia internet padahal sedang ganguan
Satrio Kuncoro Nugroho,1,2026-05-20 22:15:38,tidak bisa di buka di device Infinix GT 10 pro
Yusron Robbie,1,2026-05-20 22:15:31,"mau buat akun tp error di upload ktp, begitu terus sampe ndak di lanjut"
Wahyu 27,1,2026-05-20 22:12:46,ini kenpa saya tidak bisa masuk ya ? padahal koneksi internet saya tidak bermasalah
hasbudi kopite,1,2026-05-20 22:12:19,"Mau login tidak bisa bisa, selalu katanya koneksi internet buruk...padahal sistemnya yang tidak bagus eror terus."
Ervano Ace,1,2026-05-20 22:11:13,"aduh ini kenapa ya, buka brimo malah internet gak stabil, udah ganti jaringan dan restart hp juga tetap sama. internet kenceng padahal, buat buka BNI Mobile juga lancar tanpa kendala. Bapuk banget lah aplikasi ini"
Lita Dika,1,2026-05-20 22:10:32,"buruk, periksa koneksi jaringan anda. paket data orang banyak malah kayak gitu. diinstal berkali kali tetap sama. menghambat orang, mending BCA jelas"
harry carry,4,2026-05-20 22:10:12,aplikasi tidak dapat masuk dengan alasan jaringan internet kurang baik padahal jaringan internet dan wifi baik
Kingyzar Tibiame,1,2026-05-20 22:07:45,"Jelek Banget, Sinyal Lancar Wifi Lancar mau masuk alasan Sinyal Kurang baik.. Emang Bagus BCA"
Syukron Hamid,1,2026-05-20 22:07:20,"sinyalnya ada, tapi kenapa ini tulisannya sinyal internet kurang baik terus pas mau masuk aplikasi"
Arly Hadiansyah,5,2026-05-20 22:06:55,apakah ada perbaikan/pembaruan saya tidak bisa log-in
Hendra Sucipto,1,2026-05-20 22:06:14,terlalu sering disconnect
Muhammad Alda Alda,1,2026-05-20 22:03:28,"gmna ya kak bri saya gak bisa dibuka, mana saya mau tarik uang dari magrib tdi sampai sekarang masih gak bisa dibuka, tolong segara diperbaikin, biar bintangnya saya full in"
Iskam putra,3,2026-05-20 22:01:45,"knapa di hpku sekarang aplikasi brimo ga bisa di buka , keterangan internet kurang bagus . udah pindah wifi kuota jg masih . tapi keterangan sama .... bangke brimo"
Meilitanur,1,2026-05-20 22:00:51,"terlalu sering eror , jd kecewa pke BRI"
Faisal Parhani,2,2026-05-20 21:58:04,"tidak bisa login akun padahal mau cepat ambil uang alasannya konsekuensinya buruk. padahal wifi lancar, kouta juga punya. no. hp terdaftar aktif, hanya saja apk nya gabisa di buka. lol bangey"
Novi Sri widiatmi,5,2026-05-20 21:53:23,kenapa gak bisa login disuruh cek koneksi terus padahal jaringan bagus kuota ada
Aldo ML,5,2026-05-20 21:47:51,"knpa setiap login selalu koneksi internet kurang baik dan sering keluar sendiri, tolong lah apa ini mengganggu aktivitas transaksi pekerjaan saja"
Arman Chozlet,1,2026-05-20 21:47:08,"gak beres, sudah potongan banyak jenis, maintenancenya juga keseringan"
Yugo Mulyo Adi,4,2026-05-20 21:45:43,"tolong untuk issue koneksi Internet kurang baik saat login di perbaiki, padahal sinyal saya bagus, tapi tidak bisa untuk login"
AW Vlog,3,2026-05-20 21:45:42,kenapa ga bisa login.. jaringan ada. buka youtube. instagram. livin. medsos lain bisa. tapi kenapa buka brimo ga bisa. masalah nya ini saya butuh bener. mana duit di situ semua masa gak bisa di akses
Mujiono Ustad,1,2026-05-20 21:44:53,kenapa mobile banking tdk bisa dibuka
AHMAD MASDUKI,5,2026-05-20 21:44:22,kenapa tidak bisa login ya
eka daddy,1,2026-05-20 21:43:45,respon dari Sabrina sangat lambat.. tolong pimpinan bank di evaluasi kembali
Achmad Abidin,5,2026-05-20 21:43:25,kenapa selalu periksa koneksi internet padahal sinyal bagus. dibuat lain nya juga lancar
Mustofa,5,2026-05-20 21:41:57,"Ini pengalaman unik, waktu itu Rabu 20 Meu 2026 jam 20:50 wIB, karena suatu hal saya harus transaksi via BRImo. Namun naas, setiap kali mau login selalu muncul notif :Koneksi Internetnya Kurang Baik........... "" sudah saya coba pake paketan data maupun WiFi tetep ga bisa. saya coba hapus chace, restart HP masihhh nggak bisa juga. entah apa sebabnya. karena dibilang internet saya kurang baik, saya coba pake Liviin Mandiri..... lahh kok lancar jaya. Sama sekali ga ada kendala."
Samsul Bahari BAHARI,5,2026-05-20 21:41:37,"di uninstall trus di download lagi baru bisa buat bayar bayar ,"
Fikra Rinaldy,1,2026-05-20 21:40:46,"sedikit² eror, jaringan kurang baguslah. menyusahkan skali. buruk skali brimo ini."
Dedi Tristiyanto,3,2026-05-20 21:40:31,"susah masuk, pemberitahuan lama"
Gian Riyanto,1,2026-05-20 21:39:02,bajingqn gangguan mulu
riki nurjabar,5,2026-05-20 21:38:53,Jempol empat
marlboro gold,2,2026-05-20 21:38:42,terlalu mines dalam jaringan
Suryadi Suryadi,1,2026-05-20 21:37:40,kenapa selalu gangguam BRIMO
Tito Hidayat,5,2026-05-20 21:37:24,kenapa login susah kali yaa k brimo belakang hari ni sinyal bagus paket banyak pun susah login
Mohammad Ferdiyansyah,5,2026-05-20 21:37:19,tolong perbaiki dengan masalah jaringan padahal jaringan internet saya udh bagus
asus tolotio,1,2026-05-20 21:31:59,ini kok gak bisa diakses jaringan tidak bisa padahal pakai wifi data juga sama
Fajri Riansyah,2,2026-05-20 21:30:43,"mau login keterangan jaringan jelek padahal lancar jaya buat internetan dan streaming,coba m-banking lain lancar2 saja"
Vallentmspeed,1,2026-05-20 21:30:35,"aplikasi tolol, gabisa login, gangguan terus"
Tatang Suryana,1,2026-05-20 21:27:13,ngaco
Andi Mulyono,1,2026-05-20 21:25:42,"aplikasi jelek sering gangguan,gajelas"
Nurfaidah Rasyidin,4,2026-05-20 21:24:36,"kenapabbtimo lama tiba""tfk bisa login ket periksa jaringan smentra WA BISA"
Helpius,5,2026-05-20 21:24:22,BRIMO Semakin Ok
Endin Endin,2,2026-05-20 21:23:32,tiba2 ga bisa buka aplikasi muncul koneksi tidak internet tidak baik???tapi yg lain lancar2 aj.mohon kasih tahu cara atasinya!!!
Dilfa Algifari,1,2026-05-20 21:17:58,selalu periksa koneksi internet. menggangu
Teguh Santoso,1,2026-05-20 21:17:18,"signal bagus ada data ada wifi gabisa ke lokasi login keterangan signal buruk,apk gajelas"
Azuwa Zulfa,5,2026-05-20 21:15:36,hari ini apakah brimo maintenance.gak bisa dibuka pake WIFI pake DATA juga gak bisa.koneksi anada kurang bagus
Rft004,1,2026-05-20 21:11:45,"Ini brimo lagi ada gangguan kah ? ko gabisa login yah selalu ada tulisan koneksi internetmu kurang baik,sudah mencoba menggunakan paket data dan wifi masih sama saja,tolong responnya terimakasih"
Jajang Nurjaman,3,2026-05-20 21:11:09,Kenapa akses muka brimo perlu koneksi internet yang stabil. heran mau bayar tagihan susah masuk.
Aan Aja,1,2026-05-20 21:10:31,"makin di update makin gk jelas jadinya, masa jaringan dirumah aman, ngeyoutube bisa buka ini itu bisa, masa buka brimo, jaringan koneksi kurang baik. kan aneh, cukup bintang aja yg berbicara🙏🏻"
Daffa F,2,2026-05-20 21:09:32,apl cacat kebanyakan bug
md cellular,5,2026-05-20 21:08:18,di hp saya poco x7 5G sering tidak bisa di buka laporanya tidak ada jaringan
Aden Ibrahim,5,2026-05-20 21:08:16,kenapa sering gangguan ya
Syarif hidayatullah,1,2026-05-20 21:07:10,malah tak bisa di buka setelah di updet malah suruh periksa koneksi internet pakai wifi sama aja tak bisa di buka
Asep Whydn,1,2026-05-20 21:06:05,eror masalah jaringan
Gibran Natala,5,2026-05-20 21:05:31,menggunakan aplikasi brimo mempermudah proses transaksi
Arief Ichwan K,1,2026-05-20 21:04:09,error terus dari jam 19.00
Dini Erlin,1,2026-05-20 20:59:36,"aplikasi nya mohon dibenahi plss, buka aplikasi udah muncul jaringan anda kurang bagus padahal udah coba wifi rumah, paket data sama wifi kantor yang udah pasti lancar tetep tulisannya jaringan kurang bagus tolong dong ga sekali 2 kali begini kaya kalau tbtb mau qris juga bgitu males banget sangat amat menghambat dan sgt mempersulit hidup. Sudah di coba update, hapus chace dan refresh hp tetep gabisa duhh tolong plss"
Don Maruti,1,2026-05-20 20:59:19,sering ganguan lama sekali
Munasir,1,2026-05-20 20:58:42,Aplikasinya Tidak bisa Login
Reki Heryandoni,2,2026-05-20 20:56:58,"sering gangguan, padahal koneksi bagus tapi yang disalahin jaringan lawak"
DIK,1,2026-05-20 20:56:12,sering error errro gak penting
Gamaliel Sembiring,1,2026-05-20 20:54:18,"brimo eror terus ,lagi butuh transfer erooooorrr terusss.. ""KONEKSI INTERNETMU KURANG BAGUS"" padahal jaringan internet bagus...erornya pun bisa seharian.. mending pindah ke bank BCA aja sih ini..."
Septiandra Dwi surya,1,2026-05-20 20:53:30,"apasih internet kurang baik gimana jir, buka yt tt sama buka livin aja lancar, giliran buka brimo ada notif internet kurang baik, malu maluin gw di warung anj mau qris malah gitu, ujung-ujungnya pake livin, sampe sekarang gabisa buka brimo."
Abdul Mizan,1,2026-05-20 20:52:02,sering gangguan dan ngebug aplikasinya
Mujiono,4,2026-05-20 20:51:38,"kenapa buka brimo KLO malam selalu cek sinyal padahal sinyal q baik2 aja, pake wifi juga sama tolong d betulin dong ini da 1 Minggu Lo kayak gini terimakasih"
Ace,1,2026-05-20 20:46:03,eror koneksi kurang bagus terus padahal jaringan bagus dan kartu yg di daftarkan jga masih aktif .. kurang nyaman pakai brimo
didik Hermadi,1,2026-05-20 20:44:33,gangguan terus sering cek koneksim tdk bisa konek walauoun koneksi sdh bagus
Sri wulandari nofita Wulandari nofita,5,2026-05-20 20:44:31,saya tidak bisa masuk ke menu yaa.. ada tulisan jaringan tidak bagus.. padahal saya memakai Wi fi.. tetap tidak bisa
Alya__ Mahiru,1,2026-05-20 20:41:28,"aplikasi taik, saya mau login masuk malah tidak bisa katanya jaringan kurang bagus, padahal jaringan ku bagus, dan saya suda restar hp tapi tetap tidak bisa masuk, taik taik"
Bang Rian,1,2026-05-20 20:39:14,buruk buat transfer susah alasannya mesti sinyal kurang baik. mau pake wifi data sama aja susah. gatell
Ilham Idrus,5,2026-05-20 20:38:56,"nihh aplikasi ska gada jaringan, pdahal wifi lancar ajaa tuh buat lainnya, ngg kaya mbanking yang lain lancar trus... tolong d perbaiki lebih di tingkatkan lagi, jangan kseringan ada gangguan lah, semisal lagi urgent bngt kta yang bingung nyaaa.. gua kasih rating 5 krna spaya d baca sma developer nya"
Kadek Arjun,2,2026-05-20 20:35:35,terlalu banyak ganguan atau pemeliharaan terlebih lagi ini berlangsung cukup lama
Berman Sikumbang,1,2026-05-20 20:34:55,sering notif Internet Kurang Baik padahal udah coba On Off Paket dan Pi
Sandi Safan,1,2026-05-20 20:34:29,kebanyakan error nya ketimbang waras nya
Taufik Nay,1,2026-05-20 20:33:10,BRI KESERINGAN GANGGUAN
JSC GROUP17 (jamsi),1,2026-05-20 20:32:57,brimo suka error kadang koneksi internet error
anakia tamalaki,1,2026-05-20 20:31:44,"suka error. internet stabil, udah update malah keterangan koneksi internetmu kurang baik. brimo produk gagal"
Dava rifqizanuar,1,2026-05-20 20:30:55,"bisa kerja g si ,ini kan brimo orang nyimpen duit kok eror mulu oon"
HarizBintang,2,2026-05-20 20:30:44,"sering ada kendala dengan jaringan stiap mau login, mau transaksi atau urgent jadi lama dan sudah di cek dengan aplikasi lain lancar aja malah di brimo sering kendala jaringan, harap di segera diperbaiki untuk kenyamanan transaksi, trims."
Endra Een,5,2026-05-20 20:30:40,mantap jos👍👍👍👍
Elon PPd,5,2026-05-20 20:30:05,surah bagus hanya kadang jaringan full tapi lodingx stema..
Nanik 68,4,2026-05-20 20:27:53,"makin ngk bagus,jaringan sudah stabil wifi bagus tetap aja tidak bisa,maslah jaring,masalah jaring.tak taulah lagi macam mana nak buat. nak asik jaringan aja"
Leonardo Labarthe,1,2026-05-20 20:27:04,tolong login selalu gagal ini
marijo nakal,5,2026-05-20 20:26:52,Internet tidak tersambung terus
Dedik Pri Prastiyo,1,2026-05-20 20:26:36,"system gatel, koneksi internetmu kurang baik..payah"
Alfiano Paputungan,1,2026-05-20 20:24:41,"plis lah sinyalku aman"" aja loh malah dibilang jelek, aku mau bayar Qris malah gjdi dan cuma buat panjang antrian"
syahbudin 12,1,2026-05-20 20:24:20,"apk sering eror..tb tb gabisa di buka gara gara alasan sinyal jelek,padahal sinyalnya bagus"
Matcha Somsom,1,2026-05-20 20:22:56,"kenapa abis di update malah ga bisa buka aplikasi sama sekali ya, katanya jaringan jelek, lah ini saya pakai wifi lancar jaya, pakai internet juga lancar jaya cuman di aplikasi ini aja kok ga bisa buka katanya cek jaringan. help ini gimana ya"
AGUS EDIT OFFICIAL,1,2026-05-20 20:22:49,sinyal bagus tapi tidak bisa login
Dhea Kartika,1,2026-05-20 20:21:29,"kenapa saya mau TF tapi selalu berkendala tidak ada jaringan?? padahal kuota saya banyak!! wifi rumah juga kenceng!! minta hotspot di sodara juga kencengg!!! padahal di saldo ada 800.000'an. dan mau TF ke BCA tulisannya tidak di temukan, padahal BCA itu akun saya sendiri dan sudah benar no rekeningnya!!!. saya lagi butuh dana malah ada ajak gangguannya bikin kesell aja."
